ds,yhat,yhat_lower,yhat_upper,Year
2024-12-31,5.751053529911978,-3.764692304339805,15.116821428995856,2024
2025-12-31,5.515248481194416,-4.313539072311233,14.997637646524979,2025
2026-12-31,5.279443432476854,-4.757277799753924,14.982954807189783,2026
2027-12-31,5.043638383759292,-4.579993433960869,14.418495566826854,2027
2028-12-31,4.807187293812369,-4.592450232888304,14.084408483733247,2028
