Year,Inflation Rate (ARIMA),Lower CI (ARIMA),Upper CI (ARIMA)
2024,5.646353303333976,-7.768143678310349,19.0608502849783
2025,7.756382795583176,-9.025690777398374,24.538456368564724
2026,7.756382795583176,-9.1508202882358,24.66358587940215
2027,7.756382795583176,-9.27503049944405,24.7877960906104
2028,7.756382795583176,-9.398341379831663,24.911106970998013
